complexity	cohesion
294.83	0.78
326.43	0.79
326.43	0.79
475.17	0.84
475.17	0.84
475.17	0.84
475.17	0.84
475.17	0.84
475.17	0.84
501.5	0.84
501.5	0.84
501.5	0.84
542.21	0.8
542.21	0.8
542.21	0.8
542.21	0.8
542.21	0.8
542.21	0.8
542.21	0.8
542.21	0.8
685.31	0.77
685.31	0.77
685.31	0.77
685.31	0.77
685.31	0.77
685.31	0.77
685.31	0.77
685.31	0.77
685.31	0.77
685.31	0.77
685.31	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.1	0.77
708.31	0.81
708.31	0.81
708.31	0.81
708.31	0.81
708.31	0.81
708.31	0.81
708.31	0.81
708.31	0.81
708.31	0.81
708.31	0.81
708.31	0.81
711.3	0.76
721.34	0.81
765.84	0.8
765.84	0.8
765.84	0.8
767.2	0.77
767.2	0.77
767.2	0.77
767.2	0.77
767.2	0.77
864.02	0.75
864.02	0.75
864.02	0.75
864.02	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
887.02	0.8
902.73	0.8
944.53	0.7
944.78	0.79
944.78	0.79
956.11	0.79
956.11	0.79
983.95	0.79
983.95	0.79
983.95	0.79
983.95	0.79
983.95	0.79
983.95	0.79
983.95	0.79
1059.59	0.79
1059.59	0.79
1168.82	0.75
1168.82	0.75
1168.82	0.75
1168.82	0.75
1168.82	0.75
1168.82	0.75
1168.82	0.75
1168.82	0.75
1168.82	0.75
1170.36	0.73
1170.36	0.73
1170.36	0.73
1172.91	0.7
1172.91	0.7
1172.91	0.7
1172.91	0.7
1172.91	0.7
1172.91	0.7
1172.91	0.7
1172.91	0.7
1227.56	0.7
1227.56	0.7
1227.56	0.7
1227.81	0.8
1227.81	0.8
1227.81	0.8
1416.34	0.68
1499.86	0.62
1499.86	0.62
1500.1	0.71
1500.1	0.71
1500.1	0.71
1500.1	0.71
1500.1	0.71
1500.1	0.71
1500.68	0.68
1500.68	0.68
1500.68	0.68
1533.85	0.66
1552.47	0.66
1600.38	0.62
1674.48	0.62
1674.48	0.62
2078.22	0.61
2078.87	0.68
2078.87	0.68
2078.87	0.68
2078.87	0.68
2261.87	0.68
2261.87	0.68
2333.6	0.76
2344.36	0.72
2344.54	0.55
2344.54	0.55
2344.54	0.55
2344.54	0.55
2344.54	0.55
2344.54	0.55
2344.54	0.55
2344.94	0.69
2344.94	0.69
2397.6	0.56
2397.6	0.56
2397.6	0.56
2397.6	0.56
2397.6	0.56
2397.6	0.56
2451.39	0.75
2517.58	0.56
2824.5	0.75
2830.23	0.87
2836.9	0.75
2876.83	0.69
2877.72	0.82
2880.15	0.82
2880.15	0.82
2880.15	0.82
2880.15	0.82
2945.88	0.62
2958.72	0.75
2969.83	0.68
3168.55	0.78
3168.55	0.78
3392.39	0.69
3446.67	0.75
3914.93	0.69
