complexity	cohesion
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
38.32	0.81
225.38	0.8
225.38	0.8
294.83	0.72
294.83	0.72
294.83	0.72
294.83	0.72
294.83	0.72
302.22	0.71
302.22	0.71
302.22	0.71
302.22	0.71
302.22	0.71
302.22	0.71
302.22	0.71
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
321.97	0.74
355.17	0.74
368.62	0.86
368.62	0.86
368.62	0.86
368.62	0.86
368.62	0.86
368.62	0.86
368.62	0.86
368.62	0.86
368.62	0.86
368.62	0.86
368.62	0.86
368.62	0.86
368.62	0.86
388.23	0.72
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
447.27	0.81
466.55	0.75
466.55	0.75
466.55	0.75
466.55	0.75
466.55	0.75
476.52	0.75
476.52	0.75
476.52	0.75
476.52	0.75
482.27	0.75
501.3	0.78
501.3	0.78
501.3	0.78
501.3	0.78
501.3	0.78
501.3	0.78
520.68	0.74
532.02	0.74
541.97	0.75
541.97	0.75
541.97	0.75
541.97	0.75
541.97	0.75
541.97	0.75
541.97	0.75
541.97	0.75
669.59	0.74
669.59	0.74
669.59	0.74
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
685.31	0.71
694.68	0.76
694.68	0.76
694.68	0.76
695.27	0.73
695.27	0.73
695.27	0.73
695.27	0.73
695.27	0.73
695.27	0.73
695.27	0.73
695.27	0.73
695.27	0.73
695.27	0.73
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
708.1	0.76
721.13	0.76
765.59	0.75
765.59	0.75
767.79	0.71
799.23	0.65
799.23	0.65
799.23	0.65
799.23	0.65
799.23	0.65
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
864.02	0.7
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
886.82	0.75
1359.95	0.59
1359.95	0.59
1359.95	0.59
1476.91	0.63
1551.7	0.59
1551.7	0.59
1551.7	0.59
1551.7	0.59
1551.7	0.59
1551.7	0.59
1551.7	0.59
1596.09	0.74
1708.85	0.6
1810.82	0.67
2078.39	0.74
2279.07	0.64
2329.56	0.61
2372.82	0.7
2372.82	0.7
2397.12	0.6
2397.12	0.6
2397.12	0.6
2517	0.61
2813.97	0.83
2826.37	0.83
2826.37	0.83
2833.71	0.78
2833.71	0.78
2833.71	0.78
2877.72	0.78
2935.87	0.68
3015.85	0.72
3147.17	0.73
3331.35	0.7
