complexity	coupling
1215.88	0.94
1215.88	0.94
1215.88	0.94
1215.88	0.94
1283.77	1.07
1283.77	1.07
1299.62	1.06
1299.62	1.09
1299.62	1.09
1299.62	1.09
1299.83	1.12
1299.83	1.12
1299.83	1.12
1299.83	1.12
1299.83	1.12
1484.26	0.96
1582.26	0.92
1583.49	1.21
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1601.03	1.04
1602.18	1.08
1602.39	1.13
1617.09	1.11
1617.09	1.11
1617.09	1.11
1617.09	1.11
1617.09	1.11
1617.09	1.11
1618.24	1.16
1618.24	1.16
1618.24	1.16
1618.24	1.16
1618.24	1.16
1618.45	1.19
1618.45	1.19
1618.45	1.19
1618.45	1.19
1618.45	1.19
1637.4	0.94
1637.91	0.96
1637.91	0.96
1639.29	1
1639.29	1
1639.29	1
1673.03	1.03
1743.19	1.15
1743.19	1.15
1744.35	1.19
1744.35	1.19
1744.35	1.19
1744.35	1.19
1744.35	1.19
1744.35	1.19
1744.35	1.19
1744.35	1.19
1744.41	0.96
1744.55	1.22
1744.55	1.22
1744.55	1.18
1744.55	1.22
1744.55	1.22
1744.55	1.18
1744.55	1.22
1744.55	1.22
1744.55	1.18
1744.55	1.22
1744.55	1.22
1744.55	1.18
1744.55	1.22
1744.55	1.22
1758.99	1.06
1758.99	1.06
1758.99	1.06
1759.23	1.08
1759.23	1.08
1759.23	1.08
1759.23	1.08
1759.23	1.08
1759.23	1.08
1759.23	1.08
1759.23	1.08
1759.23	1.08
1759.23	1.08
1760.61	1.23
1760.61	1.23
1760.61	1.23
1760.61	1.23
1760.61	1.23
1763.21	1.06
1763.21	1.06
1763.21	1.06
1763.21	1.06
1763.21	1.08
1763.21	1.06
1763.21	1.08
1766.17	1.01
1767.33	1.03
1767.33	1.03
1767.33	1.03
1767.33	1.03
1767.33	1.03
1767.33	1.03
1767.33	1.03
1772.88	1.09
1772.88	1.09
1835.62	1.1
1835.87	1.12
1835.87	1.12
1835.87	1.12
1836.59	1.06
1836.59	1.06
1836.59	1.06
1836.59	1.06
1836.59	1.06
1837.74	1.1
1838.74	1.22
1838.74	1.22
1838.74	1.22
1838.74	1.22
1838.74	1.22
1838.74	1.22
1838.74	1.22
1838.74	1.22
1838.74	1.22
1838.74	1.22
1838.74	1.26
1838.74	1.26
1838.95	1.29
1838.95	1.29
1838.95	1.29
1844.5	1.12
1844.5	1.12
1844.5	1.12
1935.06	1.1
1947.38	1.15
1947.38	1.15
1947.38	1.15
1947.38	1.15
1947.38	1.15
1947.38	1.15
1947.38	1.15
1947.38	1.15
1947.58	1.18
1947.58	1.18
1947.58	1.18
1947.58	1.18
1947.58	1.18
1947.58	1.18
1947.58	1.18
2019.35	1.26
2019.35	1.26
2019.35	1.26
2019.55	1.29
2019.55	1.29
2071.1	1.18
2071.1	1.18
2071.1	1.18
2078.13	1.05
2078.13	1.05
2087.69	1.14
2087.69	1.14
2094.19	1.12
2094.19	1.12
2094.19	1.12
2107.72	1.15
2107.72	1.15
2107.72	1.15
2107.74	1.28
2139.52	0.99
2213.51	1.27
2213.51	1.27
2213.51	1.27
2213.51	1.27
2213.51	1.27
2213.51	1.27
2213.51	1.27
2213.51	1.27
2224.53	1.38
2303.31	1.25
2303.31	1.25
2303.31	1.25
2303.31	1.25
2303.31	1.25
2304.46	1.29
2304.46	1.29
2304.46	1.29
2304.46	1.29
2304.46	1.29
2304.46	1.29
2304.66	1.32
2304.66	1.32
2304.66	1.32
2304.66	1.32
2304.66	1.32
2311.88	1.36
2311.88	1.36
2311.88	1.36
2312.08	1.39
2312.08	1.39
2312.08	1.39
2399.98	1.31
2399.98	1.31
2399.98	1.31
2399.98	1.31
2399.98	1.31
2399.98	1.31
2399.98	1.31
2434.65	1.15
2434.65	1.15
2449.98	1.15
2449.98	1.15
2450.89	1.21
2450.89	1.21
2450.89	1.21
2450.89	1.21
2452.45	1.38
2452.45	1.38
2452.45	1.38
2452.45	1.38
2452.45	1.38
2467.78	1.13
2468.02	1.15
2468.02	1.15
2470.01	1.16
2489.6	1.15
2489.6	1.15
2497.01	1.17
2497.01	1.17
2497.01	1.17
2497.01	1.17
2497.01	1.17
2728.2	1.11
2979.31	1.38
2979.31	1.38
2979.51	1.41
3041.49	1.44
3053.32	1.42
3053.32	1.42
3053.32	1.42
3053.52	1.46
3404.86	1.12
3404.86	1.12
3404.86	1.12
3454.8	1.24
3534	1.38
3534.2	1.39
3558.19	1.27
3573.38	1.29
3649.08	1.38
3681.81	1.39
3682.01	1.42
3682.31	1.47
3725.53	1.49
3733.22	1.39
3733.22	1.39
3733.22	1.39
3896.39	1.56
3988.01	1.71
3988.12	1.53
4026.8	1.42
4034.21	1.59
4093.8	1.48
4131.73	1.59
4214.88	1.47
