complexity	cohesion
708.1	0.83
708.1	0.83
708.1	0.83
708.1	0.83
708.1	0.83
910.67	0.8
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1018.12	0.79
1019.28	0.76
1019.28	0.76
1019.28	0.76
1019.28	0.76
1019.28	0.76
1019.28	0.76
1019.28	0.76
1019.28	0.76
1019.28	0.76
1019.48	0.79
1019.48	0.79
1019.48	0.79
1019.48	0.79
1019.48	0.79
1019.48	0.79
1019.48	0.79
1019.48	0.79
1019.48	0.79
1019.48	0.79
1082.33	0.8
1082.33	0.8
1082.33	0.8
1082.33	0.8
1082.33	0.8
1173.73	0.85
1173.73	0.85
1188.01	0.78
1188.01	0.78
1188.01	0.78
1188.01	0.78
1188.01	0.78
1188.01	0.78
1188.01	0.78
1188.01	0.78
1188.01	0.78
1188.01	0.78
1188.01	0.78
1188.01	0.78
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.16	0.75
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1189.37	0.78
1241.71	0.81
1241.71	0.81
1241.71	0.81
1244.2	0.83
1244.2	0.83
1244.2	0.83
1244.2	0.83
1244.2	0.83
1244.2	0.83
1244.2	0.83
1244.2	0.83
1283.56	0.74
1312.26	0.78
1370.08	0.78
1370.08	0.78
1377.74	0.78
1377.74	0.78
1384.07	0.78
1384.07	0.78
1453.07	0.78
1560.24	0.74
1560.24	0.74
1560.24	0.74
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1560.49	0.78
1564.6	0.78
1564.6	0.78
1564.6	0.78
1564.6	0.78
1564.6	0.78
1564.6	0.78
1564.6	0.78
1564.6	0.78
1564.6	0.78
1564.81	0.81
1573.53	0.75
1582.26	0.77
1582.26	0.77
1582.26	0.77
1601.03	0.74
1601.03	0.74
1601.03	0.74
1601.03	0.74
1601.03	0.74
1601.23	0.77
1636.12	0.77
1636.12	0.77
1636.37	0.84
1636.37	0.84
1637.33	0.72
1637.33	0.72
1637.33	0.72
1637.33	0.72
1637.33	0.72
1637.33	0.72
1637.76	0.77
1637.76	0.77
1637.76	0.77
1637.91	0.69
1637.91	0.69
1670.11	0.81
1725.74	0.77
1742.62	0.78
1743.19	0.73
1743.19	0.73
1743.19	0.73
1743.83	0.72
1743.83	0.72
1746.98	0.81
1819.26	0.77
1820.21	0.67
1820.46	0.71
1820.46	0.71
1820.46	0.71
2106.2	0.67
2137.73	0.77
2137.8	0.84
2137.8	0.84
2139.52	0.69
2139.52	0.69
2346.41	0.59
2350.07	0.85
2374	0.78
2398.28	0.66
2398.28	0.66
2398.28	0.66
2398.28	0.66
2398.28	0.66
2398.28	0.66
2405.59	0.76
2434.08	0.69
2434.08	0.69
2450.66	0.67
2450.66	0.67
2450.66	0.67
2450.66	0.67
2450.66	0.67
2450.66	0.67
2565.07	0.68
2728.2	0.74
2791.51	0.77
2808.96	0.74
2958.72	0.87
2958.72	0.87
3302.34	0.75
3302.34	0.75
3326.89	0.76
3380.45	0.76
3380.69	0.83
3380.69	0.83
3385.76	0.8
3392.05	0.8
3393.03	0.8
3404.86	0.77
3404.86	0.77
3404.86	0.77
3405.06	0.8
3405.06	0.8
3456.6	0.74
3457.29	0.72
3495.62	0.75
3573.13	0.7
3954.65	0.74
4214.8	0.66
