complexity	cohesion
1.14	0.45
1.15	0.51
1.15	0.51
1.15	0.55
1.15	0.55
1.15	0.55
1.15	0.55
1.15	0.55
1.41	0.65
1.44	0.47
1.44	0.47
1.44	0.47
1.44	0.47
1.48	0.49
1.48	0.53
1.48	0.53
1.48	0.49
1.48	0.53
1.48	0.53
1.48	0.53
1.48	0.53
1.48	0.53
1.48	0.53
1.48	0.53
1.48	0.49
1.78	0.45
2.27	0.64
2.33	0.56
2.33	0.56
2.33	0.56
2.33	0.56
2.38	0.56
2.38	0.56
2.5	0.48
2.66	0.43
2.79	0.52
2.79	0.52
2.79	0.52
2.8	0.43
2.8	0.43
2.8	0.43
2.8	0.43
3.06	0.42
3.22	0.52
3.22	0.52
3.35	0.39
3.41	0.47
3.46	0.64
3.48	0.52
3.48	0.56
3.55	0.55
3.57	0.52
3.57	0.52
3.57	0.52
3.57	0.52
3.58	0.4
3.58	0.4
3.58	0.4
3.58	0.4
3.73	0.51
3.75	0.39
3.78	0.47
4	0.51
4	0.51
4.05	0.47
4.76	0.51
4.76	0.51
4.79	0.51
4.79	0.51
4.89	0.39
5.18	0.5
5.26	0.51
5.26	0.51
5.26	0.51
5.26	0.51
5.26	0.51
5.3	0.38
5.32	0.51
5.32	0.51
5.32	0.51
5.32	0.51
5.44	0.51
5.45	0.45
5.45	0.45
5.59	0.63
5.69	0.37
5.87	0.39
5.93	0.31
6.02	0.5
6.16	0.38
6.16	0.38
6.16	0.38
6.16	0.38
6.3	0.37
6.3	0.37
6.34	0.3
6.4	0.33
6.5	0.37
6.59	0.37
6.68	0.4
7.53	0.38
7.57	0.26
7.8	0.33
7.83	0.26
7.83	0.26
8.69	0.26
9.09	0.36
10.16	0.23
10.16	0.23
10.16	0.23
10.38	0.23
10.68	0.23
11.25	0.22
11.25	0.22
12.2	0.22
12.2	0.22
12.57	0.22
13.11	0.21
14.48	0.21
14.48	0.21
14.86	0.21
22.42	0.38
23.81	0.49
23.81	0.49
24.35	0.42
24.35	0.42
25.1	0.38
27.91	0.39
28.18	0.38
28.63	0.39
28.63	0.39
28.63	0.39
28.63	0.39
29.95	0.38
29.95	0.38
29.95	0.38
30.17	0.35
30.4	0.37
30.4	0.37
30.59	0.25
30.59	0.25
30.93	0.28
31.98	0.34
32.59	0.34
32.59	0.34
33.11	0.35
35.33	0.25
37.72	0.29
40.41	0.2
40.52	0.21
41.11	0.19
43.14	0.2
43.3	0.32
43.3	0.32
44.11	0.2
46.55	0.19
46.55	0.19
46.69	0.23
47.44	0.19
47.62	0.55
47.94	0.54
47.94	0.54
47.94	0.54
47.94	0.54
48	0.54
48.41	0.21
49.46	0.46
54.3	0.43
57.89	0.46
63.32	0.44
64.07	0.43
64.14	0.48
64.18	0.47
64.18	0.47
64.26	0.5
64.63	0.47
66.76	0.48
70.69	0.39
81.33	0.35
86.9	0.22
89.37	0.48
89.41	0.4
89.45	0.4
103.71	0.46
113.25	0.37
113.74	0.55
114.04	0.41
114.09	0.46
116.17	0.4
116.96	0.33
116.99	0.41
117.36	0.39
117.43	0.46
117.69	0.46
120.61	0.19
125.56	0.39
130.03	0.18
132.17	0.38
137.77	0.18
143.17	0.23
145.27	0.37
148.19	0.36
152.15	0.37
152.83	0.32
159.26	0.16
166.82	0.26
183.22	0.37
183.22	0.37
183.87	0.24
183.97	0.32
184.32	0.35
196.16	0.31
200.05	0.3
205.09	0.38
209.91	0.37
213.7	0.44
216.96	0.45
222	0.44
222.38	0.22
229.32	0.36
232.17	0.37
238.03	0.36
257.52	0.31
262.4	0.38
262.72	0.56
263.19	0.37
276.36	0.27
309.14	0.21
310.51	0.54
312.16	0.36
327.15	0.14
328.4	0.14
328.4	0.14
354.28	0.44
368.9	0.14
371.72	0.14
371.72	0.14
376.12	0.14
376.34	0.21
383.21	0.14
388.2	0.59
388.2	0.59
412.65	0.23
414.2	0.45
427.06	0.36
456.71	0.21
457.29	0.21
486.21	0.37
487.34	0.34
491.22	0.36
496.7	0.39
498.9	0.39
505.44	0.21
508.51	0.14
516.1	0.14
535.98	0.36
577.54	0.23
594.02	0.36
611.79	0.27
646.8	0.36
680.64	0.67
693.91	0.36
755.57	0.22
763.07	0.21
777.26	0.14
779.14	0.13
781.46	0.36
782.36	0.12
783.03	0.13
801.13	0.13
813.66	0.13
841.95	0.12
849.03	0.12
859.47	0.14
862.1	0.19
865.28	0.36
869.64	0.29
886.28	0.11
889.31	0.11
915.87	0.1
964.67	0.12
1171.07	0.11
1195.54	0.12
1235.91	0.12
1440.97	0.52
1625.46	0.12
