complexity	coupling
21.81	2.38
25.9	1.66
31.63	1.75
31.88	1.75
32.03	1.75
32.03	1.75
32.08	1.71
32.28	1.79
32.36	1.68
32.52	1.79
32.52	1.79
32.8	1.95
34.7	2.02
35.13	1.89
35.32	1.89
35.36	2
35.67	1.8
35.73	1.88
35.96	1.84
36.16	1.97
36.27	1.93
36.4	2
36.47	1.88
36.7	2.14
36.87	2.11
37.69	1.89
38.3	2.11
38.67	1.84
39.62	2.05
41	2.25
41.33	2.2
41.62	2.27
41.85	1.88
42.08	1.77
42.91	2.45
43.21	2.48
43.33	2.32
43.44	2.23
44.12	2.36
44.25	2.22
44.28	2.34
45.19	2.3
45.38	2.43
45.66	2.48
45.84	2.32
46.41	2.32
46.5	2.47
46.9	2.39
47.02	2.11
47.16	2.41
47.83	1.95
48.47	2.48
48.53	2.02
48.64	2.45
49.08	2.48
49.08	2.48
49.24	2.43
49.37	2.45
50.06	2.68
50.65	2.45
50.89	2.34
50.93	2.55
51.58	2.7
51.58	2.7
52.6	2.75
54.15	2.71
54.38	2.66
54.4	2.82
54.4	2.82
54.54	2.72
56.66	2.73
56.89	2.73
57.01	2.77
57.19	2.81
57.48	2.77
57.48	2.77
57.84	2.73
58.73	2.95
59.18	2.98
59.38	2.82
59.56	2.91
65.18	2.78
65.56	2.82
112.9	2.2
115.4	2.2
115.41	2.2
115.44	2.21
118.01	2.23
121.36	2.59
123.75	2.29
126.5	2.32
127.06	2.32
129.37	2.66
136.9	2.66
137.61	2.32
137.61	2.32
137.61	2.32
140.53	2.52
140.97	2.38
141.18	2.84
141.34	2.41
141.74	2.36
144.56	2.61
144.82	2.77
145.99	2.5
146.17	3.09
146.17	3.09
147.53	2.91
147.57	3.11
147.7	2.52
148.72	2.93
148.83	2.63
150.02	2.93
150.03	2.86
150.26	2.71
150.81	2.68
150.82	2.66
150.82	2.66
151.75	2.66
154.08	2.61
155.41	2.84
155.41	2.84
155.64	3
155.82	2.84
158.68	3.36
159.29	2.82
159.57	2.75
159.8	2.82
160.09	2.82
160.09	2.79
161.05	3.11
162.22	2.98
165.16	2.91
165.16	2.91
172.66	3.18
172.66	3.23
173.62	3.23
174.43	3.22
182.63	3.21
186.75	3.38
187.02	3.38
188.78	3.41
192.77	3.52
192.77	3.52
194.74	3.32
207.24	2.32
207.93	3.47
207.93	3.47
217.87	2.59
218.37	2.68
222.1	2.63
227.66	2.73
228.07	2.61
233.41	2.68
234.87	3.02
237.12	2.64
242.31	2.53
247.79	2.59
248.02	3.25
248.25	3.04
253.25	3.36
257.81	3.09
262.56	3.43
265.35	2.98
267.51	3.5
267.77	3.68
272.95	3.73
278.92	3.89
315.3	2.59
335.48	2.93
344.64	3.38
349.28	3.63
369.09	3.16
370.33	3.79
372.12	3.95
377.63	3.93
380.02	2.89
381.57	3.88
382.7	4.14
382.85	3
388.71	3.93
389.71	3.23
393.19	4.47
394.23	3.57
401.01	3.54
402.15	3.21
402.15	3.21
402.15	3.21
405.4	4.09
415.91	3.14
460.39	3.61
484.77	3.41
500.59	3.54
503.2	3.36
504.5	3.35
505.47	3.59
506.7	3.27
506.93	3.55
508.29	3.5
511.18	3.37
512.12	3.59
512.45	3.27
513.78	4.22
515.26	3.34
516.2	3.46
522.46	3.77
537.06	4.04
539.38	4.21
540.59	3.7
549.01	3.48
553.31	4.46
556.33	4.34
560.61	4.37
563.11	4.36
565.08	3.94
570.86	4.03
571.57	4.52
586.57	4.68
597.23	4.66
601.38	3.36
614.2	4.13
616.65	4.05
617.42	3.45
618.57	4.32
626.94	3.59
626.98	3.77
628.24	4.77
628.43	4.34
631.13	3.38
634.93	3.86
635.39	3.68
637.41	3.77
638.88	4.73
644.38	4.84
652.7	4.18
672.37	3.62
685.57	4.77
689.64	4.53
689.92	4.95
691.98	4.11
693.54	5
695.7	4.68
702.73	4.7
720.12	4.93
739.2	4
754.96	4.89
765.32	4.98
779.58	4.5
797.24	3.89
798.41	5.09
814.7	4.05
823.58	5.3
823.58	5.3
823.84	4.27
829.02	5.05
839.31	5.14
859.84	5.16
861.19	4.86
868.81	5.16
893.96	6
894.81	5.78
895.49	5.57
897.05	5.66
904.04	5.53
933.68	5.57
936.86	5.18
974.94	5.45
976.15	3.95
1008.91	5.69
1010.48	6.84
1032.95	6.91
1093.02	6.86
1105.74	6.05
1149.74	6.86
1153.03	6.36
1200.21	7.23
1208.83	4.27
1224.01	7.72
1239.65	5.97
1292.66	6.03
1315.34	7.43
1324.26	5.96
1360.26	6.2
1376.78	6.48
1563.2	7.27
1637.22	6.38
