Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,CDDIP,COP,CPIF,CIOF,SCCP,FCCP,Orchestrator
ldod-static,ClassificationGameController.end,2,0.250000,0.750000,0.750000,0.250000,0.307692,0.750000,0.117647,1.490683,0.375000,0.147959,0.206219,1
ldod-static,ClassificationGameController.end,1,0.666667,0.333333,0.500000,0.500000,0.230769,0.666667,0.352941,0.838509,1.500000,0.553571,0.296236,0
ldod-static,AdminController.loadUsersXML,0,0.363636,0.636364,0.636364,0.363636,0.440000,0.727273,0.343750,1.150134,0.750000,0.486409,0.424802,0
ldod-static,AdminController.loadUsersXML,2,0.833333,0.166667,0.333333,0.666667,0.480000,0.416667,0.562500,0.965147,1.125000,0.487840,0.469657,0
ldod-static,AdminController.loadUsersXML,3,1.000000,0.000000,0.333333,0.666667,0.080000,1.000000,0.093750,0.884718,1.125000,0.025751,0.058047,1
ldod-static,FragmentController.createAnnotation,1,0.500000,0.500000,0.630435,0.369565,0.480000,0.416667,0.754098,0.635918,1.769231,0.710598,0.679603,0
ldod-static,FragmentController.createAnnotation,2,0.300000,0.700000,0.700000,0.300000,0.400000,0.400000,0.163934,0.906771,0.461538,0.240489,0.271661,0
ldod-static,FragmentController.createAnnotation,0,0.666667,0.333333,0.600000,0.400000,0.120000,0.666667,0.081967,1.457311,0.769231,0.048913,0.028881,1
ldod-static,FragmentController.deleteAnnotation,1,0.769231,0.230769,0.360000,0.640000,0.481481,0.615385,0.555556,0.571429,1.330798,0.575157,0.484919,0
ldod-static,FragmentController.deleteAnnotation,2,0.600000,0.400000,0.400000,0.600000,0.185185,0.600000,0.111111,2.448979,0.692015,0.181628,0.194896,0
ldod-static,FragmentController.deleteAnnotation,0,1.000000,0.000000,0.000000,1.000000,0.074074,1.000000,0.044444,0.489796,0.692015,0.037578,0.000000,0
ldod-static,FragmentController.deleteAnnotation,3,0.714286,0.285714,0.384615,0.615385,0.259259,0.857143,0.288889,0.489796,1.285171,0.205637,0.252900,1
ldod-static,VirtualEditionController.mergeCategories,2,1.000000,0.000000,0.000000,1.000000,0.121212,1.000000,0.066667,2.341029,0.617647,0.150943,0.000000,0
ldod-static,VirtualEditionController.mergeCategories,3,0.714286,0.285714,0.384615,0.615385,0.424242,0.857143,0.433333,0.311675,1.147059,0.256344,0.463768,1
ldod-static,VirtualEditionController.mergeCategories,1,0.866667,0.133333,0.266667,0.733333,0.454545,0.666667,0.500000,0.347295,1.235294,0.592713,0.449275,0
ldod-static,FragmentController.updateAnnotation,1,0.470588,0.529412,0.671875,0.328125,0.459459,0.411765,0.695652,1.087126,1.565066,0.649210,0.676264,0
ldod-static,FragmentController.updateAnnotation,2,0.333333,0.666667,0.666667,0.333333,0.324324,0.333333,0.130435,1.997399,0.415721,0.192851,0.214971,1
ldod-static,FragmentController.updateAnnotation,3,0.714286,0.285714,0.384615,0.615385,0.189189,0.857143,0.141304,0.915475,0.772052,0.157938,0.068458,0
ldod-static,FragmentController.updateAnnotation,0,0.000000,1.000000,1.000000,0.000000,0.027027,0.000000,0.032609,0.000000,1.247162,0.000000,0.019194,0
ldod-static,VirtualEditionController.dissociate,0,1.000000,0.000000,0.000000,1.000000,0.046512,1.000000,0.025000,0.428324,0.654971,0.021365,0.000000,0
ldod-static,VirtualEditionController.dissociate,1,0.800000,0.200000,0.422222,0.577778,0.465116,0.650000,0.562500,0.518497,1.473684,0.572700,0.567273,0
ldod-static,VirtualEditionController.dissociate,2,0.714286,0.285714,0.285714,0.714286,0.162791,0.714286,0.087500,2.427167,0.654971,0.172107,0.101818,1
ldod-static,VirtualEditionController.dissociate,3,0.714286,0.285714,0.384615,0.615385,0.325581,0.857143,0.325000,0.626012,1.216374,0.233828,0.271515,0
ldod-static,AdminController.removeUser,0,0.750000,0.250000,0.250000,0.750000,0.063492,0.750000,0.035398,0.565371,0.605598,0.096811,0.017336,0
ldod-static,AdminController.removeUser,2,0.571429,0.428571,0.517241,0.482759,0.333333,0.809524,0.256637,1.159011,0.836302,0.253986,0.418440,1
ldod-static,AdminController.removeUser,1,0.857143,0.142857,0.302326,0.697674,0.333333,0.571429,0.380531,1.074205,1.240034,0.463933,0.227738,0
ldod-static,AdminController.removeUser,3,0.705882,0.294118,0.432432,0.567568,0.269841,0.705882,0.327434,1.201414,1.318066,0.185270,0.282900,0
