3914.93,0,0,0,100
3446.67,0,20,0,80
3392.39,10,0,0,90
3168.55,20,0,0,80
3168.55,30,0,0,70
2969.83,0,30,10,60
2958.72,0,0,20,80
2945.88,0,30,0,70
2880.15,0,10,10,80
2880.15,10,0,10,80
2880.15,10,0,20,70
2880.15,20,0,10,70
2877.72,0,0,10,90
2876.83,0,20,10,70
2836.9,10,20,0,70
2830.23,10,10,0,80
2824.5,0,10,0,90
2517.58,0,40,0,60
2451.39,0,0,30,70
2397.6,0,100,0,0
2397.6,0,50,0,50
2397.6,0,60,0,40
2397.6,0,70,0,30
2397.6,0,80,0,20
2397.6,0,90,0,10
2344.94,0,50,10,40
2344.94,10,50,0,40
2344.54,0,60,10,30
2344.54,0,70,10,20
2344.54,0,80,10,10
2344.54,0,90,10,0
2344.54,10,70,0,20
2344.54,10,80,0,10
2344.54,10,90,0,0
2344.36,20,50,0,30
2333.6,20,10,0,70
2261.87,0,40,10,50
2261.87,10,40,0,50
2078.87,0,70,20,10
2078.87,0,80,20,0
2078.87,10,80,10,0
2078.87,20,80,0,0
2078.22,0,70,30,0
